label,text
ham,"Hi team, please find attached the revised project timeline and Q3 deliverables. Let me know if you have any questions before our sync tomorrow at 10 AM."
spam,"URGENT: Your bank account has been suspended due to suspicious activity. Click here immediately to verify your identity: http://secure-bank-login.xyz/verify"
ham,"Meeting Invitation: Sprint Planning for Mobile App v2.4. When: Thursday, 2:00 PM - 3:00 PM EST. Video call link: https://meet.google.com/abc-defg-hij"
spam,"Congratulations! You have won $1,000,000 in the International Email Lottery. Send your full name, address, and bank account number to claim your prize."
ham,"Hi Sarah, I reviewed the pull request for the authentication service. Left a few minor comments on lines 45-52. Otherwise looks great to merge!"
spam,"Dear beneficiary, I am barrister Johnson from London. A deceased client left $14.5 million with no next of kin. Contact me to transfer the funds to your account."
ham,"Invoice #INV-2024-089 for software development consulting services has been paid. Thank you for your business! Best regards, Accounting Department."
spam,"FINAL NOTICE: Your package delivery with tracking #US9481039 is on hold due to unpaid customs fee of $2.99. Confirm your payment now at http://parcel-tracker-fast.info"
ham,"Here is the summary of the quarterly financial review meeting. Overall revenue increased by 14% compared to Q2. Full presentation slides are attached."
spam,"Security Alert: We detected an unauthorized sign-in attempt to your Microsoft Office365 account from Moscow, Russia. Update your password now: http://login-msft-auth.net"
ham,"Hey Mohammed, are we still meeting for lunch at the cafeteria at 12:30? Let me know if you want to grab coffee afterwards as well."
spam,"Make $5,000 to $10,000 weekly working from home! No experience required. Guaranteed passive income. Limited spots available. Register today."
ham,"Your flight booking confirmation for flight AA 1042 to New York (JFK) on September 15 is confirmed. E-ticket and receipt are attached."
spam,"Exclusive Offer! 80% discount on luxury watches, designer bags, and prescription medications. Fast worldwide shipping. Order now while stock lasts!"
ham,"Dear student, your assignment submission for CS 401: Machine Learning has been graded. Your score is 95/100. Feedback is available in the portal."
spam,"You have 1 unread secure message from Payroll Department regarding your bonus payment. Log in here to view: http://payroll-portal-secure.biz"
ham,"Weekly Newsletter: This week in Python - New features in Python 3.13, best practices for asynchronous programming, and top open source libraries."
spam,"CLAIM YOUR FREE BITCOIN! You have been selected to receive 0.5 BTC. Follow the link to activate your crypto wallet: http://btc-rewards-free.org"
ham,"Hi Alex, can you send over the updated customer feedback dataset so we can train the sentiment analysis model for the sprint review? Thanks!"
spam,"IRS Tax Refund Notification: You are eligible to receive a tax return payment of $850. Submit your tax refund form immediately at http://irs-gov-refund-portal.cc"
